"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3937843537","224431","9943","07 Jun 2018 10:59","41:17","2477","37-12","37,12","Radiant","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","Newbee","Faith, kpii, Moogy, kaka, Sccc"
"3937770762","224422","9943","07 Jun 2018 10:03","21:49","1309","14-26","14,26","Dire","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC"
"3937695236","224422","9943","07 Jun 2018 09:00","36:16","2176","25-22","25,22","Dire","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC"
"3937609487","224419","9943","07 Jun 2018 07:34","47:03","2823","33-30","33,30","Dire","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3937537639","224419","9943","07 Jun 2018 06:13","53:48","3228","28-40","28,40","Dire","Virtus.pro","9pasha, No[o]ne, RAMZES666, Solo, RodjER","PSG.LGD","xNova, Chalice, fy, Somnus丶M, Ame"
"3937484599","224402","9943","07 Jun 2018 05:07","26:00","1560","14-21","14,21","Dire","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle"
"3937435514","224402","9943","07 Jun 2018 04:01","30:07","1807","29-15","29,15","Radiant","Team Liquid","MinD_ContRoL, MATUMBAMAN, KuroKy, GH, Miracle","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne"
"3936679099","224289","9943","06 Jun 2018 04:37","54:10","3250","37-25","37,25","Radiant","Newbee","Faith, kpii, Moogy, kaka, Sccc","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3936473615","224289","9943","06 Jun 2018 02:50","1:02:28","3748","48-43","48,43","Radiant","Newbee","Faith, kpii, Moogy, kaka, Sccc","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3936321758","224261","9943","06 Jun 2018 01:22","52:01","3121","33-51","33,51","Dire","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi"
"3936208040","224261","9943","06 Jun 2018 12:08","43:08","2588","31-26","31,26","Radiant","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi"
"3936038407","224261","9943","06 Jun 2018 10:07","1:28:01","5281","56-49","56,49","Radiant","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","Mineski","iceiceice, Mushi, ninjaboogie, Jabz, Moon"
"3935917464","224251","9943","06 Jun 2018 08:30","55:33","3333","45-23","45,23","Radiant","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR"
"3935855156","224251","9943","06 Jun 2018 07:34","26:44","1604","14-29","14,29","Dire","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H"
"3935790916","224251","9943","06 Jun 2018 06:33","31:17","1877","21-12","21,12","Radiant","VGJ Storm","Sneyking, SVG, Resolut1on, MSS, YawaR","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H"
"3935718039","224231","9943","06 Jun 2018 05:13","37:25","2245","26-16","26,16","Radiant","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC","Evil Geniuses","Cr1t-, s4, Arteezy, Fly, SumaiL"
"3935657118","224231","9943","06 Jun 2018 04:00","45:48","2748","27-27","27,27","Dire","Evil Geniuses","Cr1t-, s4, Arteezy, Fly, SumaiL","OpTic Gaming","zai, 33, ppd, Pajkatt, CCnC"
"3934811274","224115","9943","05 Jun 2018 03:57","30:52","1852","35-11","35,11","Radiant","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade","The Final Tribe","Handsken, jonassomfan, Era, Pablo, Frost"
"3934691232","224115","9943","05 Jun 2018 02:56","34:17","2057","14-35","14,35","Dire","The Final Tribe","Handsken, jonassomfan, Era, Pablo, Frost","VGJ Thunder","Sylar, ddc, Freeze, Yang, Fade"
"3934531879","224086","9943","05 Jun 2018 01:25","53:17","3197","34-30","34,30","Radiant","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","Natus Vincere","Dendi, velheor, GeneRaL, Lil, Crystallize"
"3934416979","224086","9943","05 Jun 2018 12:09","44:21","2661","27-47","27,47","Dire","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","Natus Vincere","Dendi, velheor, GeneRaL, Lil, Crystallize"
"3934299285","224086","9943","05 Jun 2018 10:42","56:32","3392","37-20","37,20","Radiant","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","Natus Vincere","Dendi, velheor, GeneRaL, Lil, Crystallize"
